timestamp,curr_property,curr_property_cost,day_property,day_property_cost,curr_solar_generating,curr_solar_export,day_solar_generated,day_solar_export,curr_chan1,curr_chan2,curr_chan3,day_chan1,day_chan2,day_chan3
2016-11-01 00:00:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:01:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:02:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:03:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:04:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:05:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:06:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:07:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:08:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:09:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:10:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:11:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:12:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:13:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:14:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:15:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:16:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:17:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:18:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:19:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:20:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:21:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:22:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:23:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:24:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:25:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:26:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:27:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:28:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:29:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:30:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:31:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:32:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:33:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:34:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:35:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:36:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:37:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:38:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:39:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:40:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:41:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:42:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:43:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:44:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:45:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:46:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:47:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:48:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:49:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:50:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:51:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:52:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:53:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:54:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:55:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:56:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:57:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:58:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 00:59:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 01:00:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016-11-01 01:01:26,0,0,0,18,0,0,0,0,0,0,0,0,0,0
